country	code
albania	3
algeria	42
andorra	2
argentina	16
australia	379
austria	129
bangladesh	2
belarus	1
belgium	1797
benin	2
bosnia-and-herzegovina	4
brazil	32
bulgaria	12
burkina-faso	7
cambodia	4
cameroon	11
canada	389
central-african-republic	1
chad	1
chile	11
china	9
colombia	12
costa-rica	3
cote-d-ivoire	3
croatia	9
cuba	5
cyprus	1
czech-republic	29
democratic-republic-of-the-congo	1
denmark	116
djibouti	3
dominican-republic	1
egypt	13
en	41
equatorial-guinea	1
estonia	6
european-union	5
finland	25
france	62668
french-guiana	49
french-polynesia	192
gabon	2
georgia	2
germany	3482
greece	24
guadeloupe	131
guatemala	1
hong-kong	46
hungary	98
iceland	6
india	40
indonesia	5
iraq	2
ireland	167
israel	14
italy	394
japan	18
kenya	1
kuwait	3
latvia	5
lebanon	4
liechtenstein	1
lithuania	5
luxembourg	82
macau	1
madagascar	68
malawi	1
malaysia	2
mali	2
malta	4
martinique	59
mauritania	1
mauritius	14
mexico	1550
moldova	1
monaco	5
mongolia	1
montenegro	15
morocco	42
netherlands	261
new-caledonia	26
new-zealand	33
norway	21
oman	2
pakistan	1
paraguay	1
peru	4
philippines	6
poland	54
portugal	320
qatar	3
republic-of-macedonia	3
republic-of-the-congo	4
reunion	153
romania	109
russia	161
saint-kitts-and-nevis	2
saint-martin	1
saint-pierre-and-miquelon	28
saudi-arabia	10
senegal	35
serbia	194
singapore	10
slovakia	4
slovenia	11
south-africa	75
south-korea	1
spain	2166
swaziland	2
sweden	505
switzerland	2497
syria	1
taiwan	6
thailand	24
togo	2
tunisia	54
turkey	4
united-arab-emirates	6
united-kingdom	1408
united-states	1907
uruguay	1
vanuatu	1
vietnam	9
virgin-islands-of-the-united-states	1
